player_name_norm,bpm,vorp
jaesean tate,-3.9,-0.2
khaman maluach,-3.7,-0.2
leonard miller,-1.3,0.1
amir coffey,-3.1,-0.1
tyrese martin,-3.4,-0.3
deandre hunter,-3.9,-0.6
darius garland,-0.2,0.6
myron gardner,0.9,0.3
al horford,1.6,0.9
aaron nesmith,-3.4,-0.5
ben saraf,-7.3,-1.2
christian braun,-1.2,0.3
jordan mclaughlin,0.6,0.2
asa newell,-1.5,0.1
dylan cardwell,-1.9,0.0
jeremy sochan,-1.2,0.1
yang hansen,-9.5,-0.6
terrence shannon,-3.6,-0.2
kyle anderson,0.4,0.5
stephen curry,5.4,2.5
santi aldama,1.7,1.1
maxi kleber,-3.9,-0.2
drew eubanks,-3.7,-0.2
branden carlson,0.8,0.4
kelly olynyk,-0.1,0.2
pat connaughton,0.1,0.2
cam thomas,-5.2,-0.7
bronny james,-4.3,-0.2
bryce mcgowens,-2.9,-0.2
lauri markkanen,2.6,1.6
yanic konan niederhauser,-2.2,0.0
miles mcbride,1.2,0.9
jusuf nurkic,1.1,0.9
sharife cooper,-3.9,-0.3
javon small,1.0,0.6
tony bradley,-4.2,-0.3
vince williams,-1.0,0.2
jonathan mogbo,-0.7,0.1
lindy waters,-3.2,-0.1
brooks barnhizer,-3.1,-0.1
jamal cain,-1.4,0.1
joan beringer,0.4,0.2
zach lavine,-1.5,0.2
jordan poole,-3.5,-0.4
jimmy butler,5.5,2.3
kevin porter,2.1,1.3
devin carter,-2.6,-0.1
marcus sasser,-1.7,0.0
moussa cisse,-2.9,-0.1
joel embiid,4.9,2.1
taelon peter,-4.6,-0.3
dorian finneysmith,-4.3,-0.4
lachlan olbrich,-3.4,-0.1
paul george,1.7,1.1
jaden ivey,0.0,0.3
tidjane salaun,-0.8,0.2
kevin love,0.2,0.3
kam jones,-6.2,-0.6
grant williams,1.6,0.7
isaiah livers,-2.5,0.0
jonathan kuminga,-2.0,0.0
giannis antetokounmpo,9.5,3.0
aaron gordon,1.7,0.9
moritz wagner,-2.2,0.0
lonzo ball,-1.1,0.2
larry nance,-3.4,-0.2
johnny furphy,-3.7,-0.3
cole anthony,-4.7,-0.4
chris youngblood,-2.3,0.0
thanasis antetokounmpo,-1.7,0.0
chaz lanier,-5.1,-0.2
franz wagner,2.5,1.2
tyler herro,2.0,1.1
jalen williams,2.1,1.0
daeqwon plowden,-4.4,-0.5
ethan thompson,-4.9,-0.5
steven adams,-0.5,0.3
jalen green,-1.1,0.2
kristaps porzingis,1.9,0.8
keshad johnson,-1.3,0.1
duop reath,-0.9,0.1
blake wesley,-3.6,-0.1
jahmai mashack,-7.0,-0.8
liam mcneeley,-1.3,0.1
matisse thybulle,4.4,0.8
scoot henderson,-2.2,0.0
jeff green,-5.6,-0.2
xavier tillman,-1.8,0.0
nick smith,-4.7,-0.3
pacome dadiet,-3.3,0.0
doug mcdermott,-4.4,-0.3
ron harper,1.1,0.3
malaki branham,-2.2,0.0
jd davison,-1.1,0.0
joe ingles,0.2,0.1
oscar tshiebwe,-1.8,0.0
nigel hayesdavis,-7.3,-0.3
christian koloko,-4.7,-0.2
drew timme,-2.2,0.0
ej liddell,-3.3,-0.1
taurean prince,-3.1,-0.2
dangelo russell,-2.3,0.0
elijah harkless,-5.6,-0.5
daron holmes,-0.5,0.1
adou thiero,-4.4,-0.1
bismack biyombo,-5.8,-0.1
malevy leons,-2.8,-0.1
obi toppin,3.0,0.5
tyson etienne,-2.8,-0.1
aj lawson,-1.0,0.1
alijah martin,-4.3,-0.1
keegan murray,-3.1,-0.2
bogdan bogdanovic,-3.1,-0.1
killian hayes,-6.0,-0.4
amari williams,-2.1,0.0
cameron payne,0.3,0.2
garrett temple,-4.9,-0.1
jeremiah robinsonearl,-5.2,-0.3
cam whitmore,-3.3,-0.1
johnny juzang,-3.3,0.0
kevon looney,-1.8,0.0
kevin mccullar,-2.8,0.0
hunter tyson,-6.8,-0.2
anthony davis,2.4,0.7
ja morant,-1.5,0.1
mason plumlee,0.5,0.1
kj simpson,-5.1,-0.2
javonte cooke,-11.7,-0.2
domantas sabonis,0.6,0.4
pj hall,-2.3,0.0
caleb houstan,0.3,0.0
yuki kawamura,-3.7,-0.1
lj cryer,-4.7,-0.2
rayj dennis,-6.0,-0.2
chaney johnson,0.1,0.2
tyty washington,1.9,0.1
kobe bufkin,-9.4,-0.2
chris paul,-4.2,-0.1
jayson tatum,4.8,0.9
garrison mathews,-1.3,0.0
trae young,2.8,0.5
tolu smith,0.0,0.1
bez mbeng,-4.9,-0.4
ty jerome,7.7,0.8
malachi smith,-0.8,0.1
leaky black,-5.3,-0.4
marjon beauchamp,-1.6,0.0
isaiah crawford,-3.0,0.0
miles kelly,-5.1,-0.1
kyle lowry,-10.4,-0.3
blake hinson,-0.6,0.1
nate williams,-5.0,-0.2
jahmir young,-6.7,-0.1
dejounte murray,1.4,0.3
julian reese,-5.1,-0.3
charles bassey,1.9,0.2
jalen slawson,-0.4,0.1
trey jemison,-8.6,-0.1
john poulakidas,-2.2,0.0
koby brea,0.2,0.0
luke travers,-3.2,0.0
deandre jordan,-0.2,0.1
bobi klintman,-8.7,-0.1
max strus,-1.2,0.1
tyler smith,-4.8,-0.1
tyler burton,-5.3,-0.3
cormac ryan,-0.8,0.1
mac mcclung,-5.1,-0.1
johni broome,-16.2,-0.2
kennedy chandler,-5.7,-0.3
max shulga,-11.5,-0.1
dejon jarreau,-5.2,-0.2
david jones garcia,6.4,0.1
zach edey,0.5,0.2
taj gibson,-3.5,0.0
seth curry,0.2,0.1
antonio reeves,1.3,0.1
curtis jones,-3.5,0.0
zach collins,0.2,0.1
scotty pippen,-2.8,0.0
nikola topic,-8.4,-0.3
tristan enaruna,-1.0,0.0
trey alexander,-1.6,0.0
vladislav goldin,-0.5,0.0
patrick baldwin,-4.4,-0.1
chris manon,0.1,0.0
riley minix,1.8,0.1
omer yurtseven,-7.6,-0.1
chris boucher,-3.1,0.0
jahmyl telfort,-13.8,-0.1
trevor keels,-14.5,0.0
adamaalpha bal,-5.4,-0.2
dillon jones,-2.6,0.0
haywood highsmith,3.8,0.1
sean pedulla,-11.8,-0.1
dereck lively,0.6,0.1
lucas williamson,-7.6,-0.3
hunter sallis,-10.6,-0.1
harrison ingram,2.3,0.0
isaac jones,-8.1,-0.1
mark sears,-2.2,0.0
eric gordon,2.4,0.1
alex antetokounmpo,5.4,0.0
monte morris,-5.9,-0.1
drew peterson,-9.8,-0.1
wendell moore,-1.3,0.0
toby okani,-10.7,-0.5
bradley beal,-10.6,-0.3
tre scott,-5.3,-0.2
john tonje,-5.1,0.0
dalano banton,-4.0,0.0
dariq whitehead,-8.0,-0.3
norchad omier,6.0,0.0
dario saric,-9.0,-0.1
zyon pullin,-1.1,0.0
jayson kent,4.2,0.0
jacob toppin,0.5,0.0
markelle fultz,-16.3,-0.1
tosan evbuomwan,-11.5,0.0
rocco zikarsky,2.4,0.0
emanuel miller,2.5,0.0
hunter dickinson,-11.4,-0.1
andersson garcia,-5.7,-0.2
david roddy,0.0,0.0
walker kessler,3.3,0.2
cj huntley,-4.4,0.0
olivier sarr,2.6,0.0
enrique freeman,0.0,0.0
grant nelson,2.2,0.0
alondes williams,1.1,0.1
orlando robinson,1.4,0.0
colin castleton,-7.7,0.0
buddy boeheim,-8.4,0.0
alex morales,-16.0,-0.1
nfaly dante,-4.5,0.0
mo bamba,-8.0,-0.1
payton sandfort,-5.8,-0.1
james wiseman,-9.0,-0.1
keshon gilbert,-4.6,0.0
cody martin,-8.0,-0.1
skal labissiere,0.3,0.0
josh oduro,-7.7,-0.1
daquan jeffries,-0.2,0.0
kadary richmond,3.6,0.1
chris livingston,-2.7,0.0
isaiah stevens,2.2,0.0
trentyn flowers,-1.0,0.0
brandon clarke,-4.9,0.0
noa essengue,-23.7,0.0
chucky hepburn,-23.8,-0.1
stanley umude,0.4,0.0
mouhamadou gueye,-3.9,0.0
lawson lovering,-3.6,0.0
hayden gray,-5.3,0.0
tristen newton,8.4,0.0
colby jones,2.4,0.0
darius brown,-18.7,0.0
